Datetime,Value
1/1/2019 0:00,0.367879441
1/1/2019 0:01,0.430848141
1/1/2019 0:02,0.462386764
1/1/2019 0:03,3.493902201
1/1/2019 0:04,2.525386711
1/1/2019 0:05,4.556832563
1/1/2019 0:06,6.588232034
1/1/2019 0:07,0.619577414
1/1/2019 0:08,0.650861005
1/1/2019 0:09,0.682075124
1/1/2019 0:10,0.713212106
1/1/2019 0:11,3.744264306
1/1/2019 0:12,3.775224098
1/1/2019 0:13,0.806083879
1/1/2019 0:14,0.836836073
1/1/2019 0:15,0.867473127
1/1/2019 0:16,3.89798752
1/1/2019 0:17,0.928371758
1/1/2019 0:18,0.958618382
1/1/2019 0:19,0.988719965
1/1/2019 0:20,2.018669117
1/1/2019 0:21,1.048458484
1/1/2019 0:22,1.078080754
1/1/2019 0:23,1.107528654
1/1/2019 0:24,1.136794955
1/1/2019 0:25,1.165872472
1/1/2019 0:26,1.194754069
1/1/2019 0:27,3.223432654
1/1/2019 0:28,1.25190119
1/1/2019 0:29,3.280152689
1/1/2019 0:30,1.308180217
1/1/2019 0:31,1.335976894
1/1/2019 0:32,3.363535901
1/1/2019 0:33,1.390850472
1/1/2019 0:34,1.417913907
1/1/2019 0:35,1.444719564
1/1/2019 0:36,2.471260867
1/1/2019 0:37,1.497531302
1/1/2019 0:38,1.523524426
1/1/2019 0:39,1.549233862
1/1/2019 0:40,1.574653304
1/1/2019 0:41,2.599776515
1/1/2019 0:42,1.624597336
1/1/2019 0:43,1.649109677
1/1/2019 0:44,5.673307529
1/1/2019 0:45,1.697184957
1/1/2019 0:46,4.720736108
1/1/2019 0:47,1.743955208
1/1/2019 0:48,1.766836563
1/1/2019 0:49,-1.210625433
1/1/2019 0:50,1.811563694
1/1/2019 0:51,-1.166601492
1/1/2019 0:52,6.854873658
1/1/2019 0:53,1.875983882
1/1/2019 0:54,1.896724008
1/1/2019 0:55,1.917088958
1/1/2019 0:56,1.937073742
1/1/2019 0:57,2.956673467
1/1/2019 0:58,1.975883335
1/1/2019 0:59,1.994698642
1/1/2019 1:00,2.013114785
1/1/2019 1:01,2.031127255
1/1/2019 1:02,2.048731645
1/1/2019 1:03,2.065923651
1/1/2019 1:04,2.082699066
1/1/2019 1:05,2.099053789
1/1/2019 1:06,-1.885016178
1/1/2019 1:07,5.130485271
1/1/2019 1:08,2.14555435
1/1/2019 1:09,4.160187378
1/1/2019 1:10,2.174380781
1/1/2019 1:11,2.188131095
1/1/2019 1:12,2.201434965
1/1/2019 1:13,4.214289144
1/1/2019 1:14,5.2266905
1/1/2019 1:15,2.23863601
1/1/2019 1:16,6.250122763
1/1/2019 1:17,6.261147964
1/1/2019 1:18,0.271708928
1/1/2019 1:19,2.281803089
1/1/2019 1:20,2.291427992
1/1/2019 1:21,2.300581301
1/1/2019 1:22,2.309260795
1/1/2019 1:23,2.317464369
1/1/2019 1:24,6.325190037
1/1/2019 1:25,4.332435931
1/1/2019 1:26,2.3392003
1/1/2019 1:27,2.345481512
1/1/2019 1:28,-0.648721944
1/1/2019 1:29,4.356588539
1/1/2019 1:30,2.361411689
1/1/2019 1:31,2.365746352
1/1/2019 1:32,2.369591498
1/1/2019 1:33,2.372946215
1/1/2019 1:34,2.375809712
1/1/2019 1:35,8.378181322
1/1/2019 1:36,2.380060497
1/1/2019 1:37,2.381446811
1/1/2019 1:38,2.382339959
1/1/2019 1:39,2.382739759
1/1/2019 1:40,2.382646151
1/1/2019 1:41,0.382059194
1/1/2019 1:42,2.380979073
1/1/2019 1:43,2.37940609
1/1/2019 1:44,2.377340672
1/1/2019 1:45,-1.625216633
1/1/2019 1:46,2.371734843
1/1/2019 1:47,2.368195891
1/1/2019 1:48,2.364167421
1/1/2019 1:49,2.359650466
1/1/2019 1:50,6.354646177
1/1/2019 1:51,6.349155828
1/1/2019 1:52,2.343180811
1/1/2019 1:53,2.336722639
1/1/2019 1:54,2.329782942
1/1/2019 1:55,2.322363471
1/1/2019 1:56,2.314466096
1/1/2019 1:57,2.306092802
1/1/2019 1:58,3.297245693
1/1/2019 1:59,0.287926991
1/1/2019 2:00,9.278139032
1/1/2019 2:01,2.26788427
1/1/2019 2:02,2.257165274
1/1/2019 2:03,2.245984726
1/1/2019 2:04,-0.765654577
1/1/2019 2:05,0.222250275
1/1/2019 2:06,2.209702304
1/1/2019 2:07,2.196704645
1/1/2019 2:08,2.183260543
1/1/2019 2:09,2.169373353
1/1/2019 2:10,2.15504654
1/1/2019 2:11,2.140283677
1/1/2019 2:12,2.125088445
1/1/2019 2:13,2.109464631
1/1/2019 2:14,5.093416129
1/1/2019 2:15,2.076946937
1/1/2019 2:16,4.060061156
1/1/2019 2:17,2.042762991
1/1/2019 2:18,2.025056749
1/1/2019 2:19,2.006946837
1/1/2019 2:20,1.988437762
1/1/2019 2:21,6.969534128
1/1/2019 2:22,1.950240639
1/1/2019 2:23,-3.069437907
1/1/2019 2:24,3.910503384
1/1/2019 2:25,1.8900695
1/1/2019 2:26,1.869265521
1/1/2019 2:27,1.848096618
1/1/2019 2:28,1.826568054
1/1/2019 2:29,1.804685178
1/1/2019 2:30,1.782453429
1/1/2019 2:31,1.75987833
1/1/2019 2:32,1.73696549
1/1/2019 2:33,1.713720601
1/1/2019 2:34,1.690149437
1/1/2019 2:35,1.666257852
1/1/2019 2:36,1.642051781
1/1/2019 2:37,1.617537233
1/1/2019 2:38,-3.407279703
1/1/2019 2:39,1.567607134
1/1/2019 2:40,1.54220398
1/1/2019 2:41,4.51651714
1/1/2019 2:42,1.490552992
1/1/2019 2:43,1.464317981
1/1/2019 2:44,5.437818617
1/1/2019 2:45,1.411061479
1/1/2019 2:46,5.384053208
1/1/2019 2:47,4.356800505
1/1/2019 2:48,7.329310134
1/1/2019 2:49,6.301588916
1/1/2019 2:50,1.273643731
1/1/2019 2:51,3.245481512
1/1/2019 2:52,1.217109247
1/1/2019 2:53,1.188533975
1/1/2019 2:54,4.159762785
1/1/2019 2:55,2.130802816
1/1/2019 2:56,1.101661251
1/1/2019 2:57,0.07234532
1/1/2019 2:58,1.042862295
1/1/2019 2:59,1.01321949
1/1/2019 3:00,0.983424258
1/1/2019 3:01,0.953483989
1/1/2019 3:02,0.923406109
1/1/2019 3:03,-3.106801921
1/1/2019 3:04,0.862867391
1/1/2019 3:05,0.832421569
1/1/2019 3:06,0.801868162
1/1/2019 3:07,-2.22878525
1/1/2019 3:08,0.740468934
1/1/2019 3:09,0.709638339
1/1/2019 3:10,-2.321269387
1/1/2019 3:11,0.647753419
1/1/2019 3:12,0.616714441
1/1/2019 3:13,0.585621375
1/1/2019 3:14,0.554481934
1/1/2019 3:15,0.523303839
1/1/2019 3:16,3.492094822
1/1/2019 3:17,0.460862623
1/1/2019 3:18,0.429614988
1/1/2019 3:19,-2.601640335
1/1/2019 3:20,0.367104406
1/1/2019 3:21,1.335856962
1/1/2019 3:22,3.304625082
1/1/2019 3:23,0.273416512
1/1/2019 3:24,-3.75776101
